session_id,date_time,source_ip,source_port,destination_ip,destination_port,bytes,packages_count
1.30691138763955e+16,2022-04-20 15:15:18.939,10.157.101.101,60906,10.253.199.186,443,845,3
1.30691138763955e+16,2022-04-20 15:16:12.904,10.157.101.101,60906,10.253.199.186,443,824,2
1.30691138763955e+16,2022-04-20 15:16:57.946,10.157.101.101,60906,10.253.199.186,443,41,2
1.30691138763955e+16,2022-04-20 15:18:02.943,10.157.101.101,60906,10.253.199.186,443,41,2
1.30691138763955e+16,2022-04-20 15:18:36.923,10.157.101.101,60930,10.253.199.186,443,1478,7
1.30691138763955e+16,2022-04-20 15:19:22.006,10.157.101.101,60930,10.253.199.186,443,845,3
1.30691138763955e+16,2022-04-20 15:20:18.970,10.157.101.101,60930,10.253.199.186,443,845,3
1.30691138763955e+16,2022-04-20 15:21:12.920,10.157.101.101,60930,10.253.199.186,443,824,2
1.30691138763955e+16,2022-04-20 15:21:57.962,10.157.101.101,60930,10.253.199.186,443,41,2
1.30691138763955e+16,2022-04-20 15:22:59.359,10.157.101.101,60930,10.253.199.186,443,20,1
1.30691138763955e+16,2022-04-20 15:23:36.939,10.157.101.101,60943,10.253.199.186,443,1522,8
1.30691138763955e+16,2022-04-20 15:24:22.030,10.157.101.101,60943,10.253.199.186,443,845,3
1.30691138763955e+16,2022-04-20 15:25:18.981,10.157.101.101,60943,10.253.199.186,443,845,3
1.30691138763955e+16,2022-04-20 15:26:12.938,10.157.101.101,60943,10.253.199.186,443,824,2
1.30691138763955e+16,2022-04-20 15:26:57.998,10.157.101.101,60943,10.253.199.186,443,21,1
1.30691138763955e+16,2022-04-20 15:27:17.993,10.157.101.101,60943,10.253.199.186,443,41,2
1.30691138763955e+16,2022-04-20 15:28:36.949,10.157.101.101,60943,10.253.199.186,443,20,1
1.30691138763955e+16,2022-04-20 15:28:36.951,10.157.101.101,62393,10.253.199.186,443,1478,7
1.30691138763955e+16,2022-04-20 15:29:22.036,10.157.101.101,62393,10.253.199.186,443,845,3
1.30691138763955e+16,2022-04-20 15:30:18.990,10.157.101.101,62393,10.253.199.186,443,845,3
1.30691138763955e+16,2022-04-20 15:31:12.951,10.157.101.101,62393,10.253.199.186,443,824,2
1.30691138763955e+16,2022-04-20 15:31:57.987,10.157.101.101,62393,10.253.199.186,443,41,2
1.30691138763955e+16,2022-04-20 15:33:02.982,10.157.101.101,62393,10.253.199.186,443,21,1
1.30691138763955e+16,2022-04-20 15:33:36.966,10.157.101.101,62393,10.253.199.186,443,20,1
1.30691138763955e+16,2022-04-20 15:33:36.968,10.157.101.101,62423,10.253.199.186,443,1499,8
1.30691138763955e+16,2022-04-20 15:34:33.969,10.157.101.101,62423,10.253.199.186,443,845,3
1.30691138763955e+16,2022-04-20 15:35:36.971,10.157.101.101,62423,10.253.199.186,443,824,2
1.30691138763955e+16,2022-04-20 15:36:12.961,10.157.101.101,62423,10.253.199.186,443,824,2
1.30691138763955e+16,2022-04-20 15:36:57.993,10.157.101.101,62423,10.253.199.186,443,41,2
1.30691138763955e+16,2022-04-20 15:38:02.992,10.157.101.101,62423,10.253.199.186,443,41,2
1.30691138763955e+16,2022-04-20 15:38:36.978,10.157.101.101,62480,10.253.199.186,443,1478,7
1.30691138763955e+16,2022-04-20 15:39:22.067,10.157.101.101,62480,10.253.199.186,443,845,3
1.30691138763955e+16,2022-04-20 15:40:19.015,10.157.101.101,62480,10.253.199.186,443,21,1
1.30691138763955e+16,2022-04-20 15:40:37.284,10.157.101.101,62480,10.253.199.186,443,1648,4
1.30691138763955e+16,2022-04-20 15:41:58.073,10.157.101.101,62480,10.253.199.186,443,41,2
1.30691138763955e+16,2022-04-20 15:43:03.066,10.157.101.101,62480,10.253.199.186,443,21,1
1.30691138763955e+16,2022-04-20 15:43:36.994,10.157.101.101,62480,10.253.199.186,443,20,1
1.30691138763955e+16,2022-04-20 15:43:36.995,10.157.101.101,62516,10.253.199.186,443,1499,8
1.30691138763955e+16,2022-04-20 15:44:34.002,10.157.101.101,62516,10.253.199.186,443,845,3
1.30691138763955e+16,2022-04-20 15:45:37.001,10.157.101.101,62516,10.253.199.186,443,1648,4
1.30691138763955e+16,2022-04-20 15:46:58.026,10.157.101.101,62516,10.253.199.186,443,61,3
1.30691138763955e+16,2022-04-20 15:48:37.026,10.157.101.101,62574,10.253.199.186,443,1522,8
1.30691138763955e+16,2022-04-20 15:49:22.104,10.157.101.101,62574,10.253.199.186,443,845,3
1.30691138763955e+16,2022-04-20 15:50:19.097,10.157.101.101,62574,10.253.199.186,443,845,3
1.30691138763955e+16,2022-04-20 15:51:13.002,10.157.101.101,62574,10.253.199.186,443,824,2
1.30691138763955e+16,2022-04-20 15:51:58.034,10.157.101.101,62574,10.253.199.186,443,41,2
1.30691138763955e+16,2022-04-20 15:53:03.042,10.157.101.101,62574,10.253.199.186,443,41,2
1.30691138763955e+16,2022-04-20 15:53:37.020,10.157.101.101,62624,10.253.199.186,443,1478,7
1.30691138763955e+16,2022-04-20 15:54:22.104,10.157.101.101,62624,10.253.199.186,443,845,3
1.30691138763955e+16,2022-04-20 15:55:19.056,10.157.101.101,62624,10.253.199.186,443,845,3
1.30691138763955e+16,2022-04-20 15:56:13.017,10.157.101.101,62624,10.253.199.186,443,824,2
